Book,Tune,Page,Composer,Time Signature,Type,Title changed?,Variations?,>2 strains?,Trill?,Syncopation?,Missed chance for SbS apart from known exceptions?,Staccato?,Slurred Staccato?,Apoggiatura?,Bassline,"""New""?",Triplet,Dotted triplet,SSL,LSS,Apog. 16Th
Mackintosh-2,Mrs. Oswald (of Auchincruive's) new Strathspey,1,Robert Mackintosh,C,Strathspey,,No,No,Yes,,,No,No,Yes,S,Yes,No,No,Yes,Yes,Yes
Mackintosh-2,The Jockey Club,1,Robert Mackintosh,C|,[Reel],,No,No,No,Yes,No,No,No,No,CS,No,No,No,No,No,No
Mackintosh-2,Mr. John Trotter of Castlelaw's Hornpipe,1,Robert Mackintosh,C,Hornpipe,,No,No,No,Yes,No,Yes,No,No,M,No,No,No,No,No,No
Mackintosh-2,The Duchess of Gordon's Delight,2,Robert Mackintosh,2/4,[Drawing Room],,Yes,Yes,Yes,Yes,,No,Yes,Yes,M,No,,,,,
Mackintosh-2,Miss Mary Ann Johnston's Reel,6,Robert Mackintosh,C|,Reel,,No,No,No,Yes,No,Yes,No,No,S,No,No,No,No,No,No
Mackintosh-2,Mrs. Fordyce (of Ayton's) Strathspey,6,Robert Mackintosh,C,Strathspey,,No,No,Yes,,,No,No,No,SC,No,No,No,Yes,No,No
Mackintosh-2,Lady Susan Gordon's Quick Step,6,Robert Mackintosh,6/8,Quick Step,Lady Susan Gordon's Reel,No,No,Yes,No,No,No,No,No,S,No,Yes,No,No,No,No
Mackintosh-2,Lady Dalrymple (North Berwick's Strathspey),7,Robert Mackintosh,C,Strathspey,,No,No,Yes,,,No,No,No,S,No,No,No,No,No,No
Mackintosh-2,Mr Grant of Rothymurchus Strathspey,7,Robert Mackintosh,C,Strathspey,,No,No,Yes,,,No,No,No,C,No,No,No,No,No,No
Mackintosh-2,Mrs. Chas. Dalrymples reel,8,Robert Mackintosh,C|,Reel,,No,No,Yes,Yes,No,No,No,No,CS,No,No,No,no,No,No
Mackintosh-2,Sir Hew Dalrymple Bart. (North Berwick's) Reel,8,Robert Mackintosh,2/4,Reel,,No,No,Yes,Yes,No,No,No,No,S,No,No,No,No,Yes,No
Mackintosh-2,Honble. Miss Sempill's Reel,8,Robert Mackintosh,C|,Reel,,No,No,No,Yes,No,No,No,No,CS,No,No,No,No,No,No
Mackintosh-2,Sir Alexr. Don's Strathspey,9,Robert Mackintosh,C,Strathspey,,No,Yes,Yes,,,No,No,Yes,C,No,No,No,Yes,No,No
Mackintosh-2,Miss (Dr.) Grants Quick Step,10,Robert Mackintosh,6/8,Quick Step,Miss (Dr.) Grants Reel,No,No,No,Yes,Yes,No,No,Yes,C,No,Yes,No,No,No,No
Mackintosh-2,Miss Trotter (of Bush's) Reel,10,Robert Mackintosh,C|,Reel,,No,No,Yes,Yes,No,Yes,No,No,S,No,No,No,No,No,No
Mackintosh-2,Miss Oliphant (Rossie's) Strathspey,10,Robert Mackintosh,C,Strathspey,,No,No,No,,,No,No,No,SC,No,No,No,Yes,Yes,No
Mackintosh-2,Miss Isabella McKenzie's Strathspey,11,Robert Mackintosh,C,Strathspey,,No,No,Yes,,,No,No,Yes,S,No,No,No,No,No,No
Mackintosh-2,Mrs. Stennet's Quick Step,11,Robert Mackintosh,6/8,Quick Step,,No,No,Yes,No,No,No,No,Yes,S,No,Yes,No,No,No,Yes
